Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
mχ urən pal sāw sɔ̇mjaχ taɣintapti ,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam
wȯrəŋ pal sāw sɔ̇mjaχ taɣ͕əntapti,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam
 ūsm ɔ̄tər ɔ̄jka ɔńꞩi χūru̮m āɣi,1,A,AVP,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,H,pl,barenp,ref,sp,uniq,weak
 χajtalaste mań āɣi: ,1,AP,VP,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,weak
"pȯ̭r tēɣt, ",1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,I,mass,barenp,ref,sp,nuniq,nfam
" - Am mȯlal l'ul' wārsum, ",1,A,APV,NoPtcl,pst,ind,none,pfv,1,sg,pron,top,sp,uniq,strg,U,abst,barenp,typid,nonsp,nuniq,nfam
" Tau̯ juil taχu̮mtaste, ",1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" tau̥ alaste, tuwl",1,AP,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" Ań am manər wāreɣu̮m, ",1,A,APV,NoPtcl,npst,ind,quest,pfv,1,sg,pron,act,sp,uniq,strg,U,abst,npron,undef,nonsp,nuniq,nfam
" Anꞩw salaste xɔt, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,weak
tau̯ ȱ̭lamane χɔt - aŋχw ɔs,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,strg
" Mańe ȱ̭lamt nɔŋχ - wasane, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,act,sp,uniq,strg
mańe wiste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,top,sp,uniq,strg
" jān, jȯla tārataste",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
 tuu̯ ō̭lumane pintsane tuw̯,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg
 Kēlpane ȱ̭lumanen tuu̯ mańiɣtasane,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,top,sp,uniq,strg
" Tɔ̄ru̮m āꞩ wɔ̄t wārs, ",1,A,APV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,uniq,sp,uniq,weak,I,abst,barenp,typid,nonsp,nuniq,nfam
tujt pāttəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,barenp,typid,nonsp,nuniq,nfam
 Jau̯ wil'te tujtı̮ɣlite,1,AP,APV,NoPtcl,npst,ind,none,npfv,H,sg,pron,act,sp,uniq,strg,I,sg,possnp,uniq,sp,uniq,weak
 ɔ̄limetēn  ńawram ɔꞩsı̮ɣ,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,H,sg,barenp,typid,nonsp,nuniq,weak
" mȯꞩ, nī jeɣpı̮ɣēntəl ńawram ɔꞩsı̮ɣ",1,A,APV,NoPtcl,pst,ind,none,pfv,H,du,barenp,fam,sp,uniq,strg,H,sg,barenp,typid,nonsp,nuniq,weak
"sāɣrap wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
"kāsaj wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
kiw talu̮p wis,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,nuniq,nfam
" mȯrtsı̮ɣ kiwtɒs, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,du,pron,act,sp,uniq,strg
 jaɣāɣi=nete pȯ̭ŋk sɔ̄we puwəste,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,mass,possnp,ref,sp,uniq,weak
 kȯna=kwaltəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" pāu̯l kan jola=pinɒste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
"sāɣrape wis, ",1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
kāsaje wis,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,possnp,act,sp,uniq,strg
jaktəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
" piɣriꞩe puwəste, ",1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg
"kȯt tȯtaste,",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" ɔs alaste, ",1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
pɔ̭̇l'iɣ sāɣrəste,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
