,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
 mań mȯꞩ χum āɣijiɣ = pı̮ɣı̮ɣ,0,,,,,,,,,,,,,,,,,,,,,,,
 pȯtijiŋk ɔumɒŋ pȯtəŋ jā nułjŋk ɔumɒŋ nułəŋ jā tal'aχt mań mȯꞩ χum āɣjiɣ = pı̮ɣı̮ɣ ɔ̄leı̮ɣ,1,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,uniq,nfam,,,,,,,,
" χɔsa tɔ̄rmēn χɔsaı̮ɣ ɔ̄lītēn, wat'ijiɣ wat'jiɣ tēn",2,1,AP,PxV,NoPtcl,npst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,I,abst,dpossnp,ref,sp,uniq,nfam,
 jaɣpı̮ɣe ur miš nē ēka ȯńꞩi,3,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,possnp,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,nfam,
" mań mȯꞩ χum wȯrəŋ pal sāw sȯmjaχ tāɣ͕intapti, u͕rəŋ pti",4,1,A,AxPV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,top,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam,
 mań mȯꞩ χum ak lu͕wnəl jānı̮ɣ sāt lu͕w janmaltɒs,5,1,A,AxPV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,A,pl,barenp,ref,nonsp,nuniq,nfam,
 pu͕məl tittəŋ kel ālimi,6,0,INF-A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 i aliꞩlɒŋkwe āliuni,7,0,INF-A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 ak nakı̮ɣ jēmtəs,8,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
" alslaŋke jals,",9,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" tuwl juw jȯχtəs,",10,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 tau̯ χujnēte sis alpəlı̮ɣ jēmtəs,11,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
" nɔχ kȯls,",12,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 ɔ̄ꞩən minas,13,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" ɔ̄ꞩən jȯχtəs,",14,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 lu͕wane lȯu̯mankēm sȯrum patum,15,0,A,AV,NoPtcl,pst,evid,none,pfv,A,pl,possnp,fam,sp,nuniq,strg,,,,,,,,
 tuwl ɔ̄ꞩ kȯni paln pāχtsane,16,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,zero,ref,nonsp,nuniq,strg,
" juw jȯχtəs,",17,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" kȯlēn juu̯ ꞩaltəs,",18,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 masχatɒs,19,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 ɔs wȯrn minas,20,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 ēt'ijiɣ jēmtəs,21,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
" juw jȯχtəs, kȯlēn,",22,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" tau āwite punsiɣtaste,",23,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,pron,top,sp,uniq,strg,I,sg,possnp,uniq,sp,uniq,w_brdg,
" kasalaste,",24,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" tau ēkate tɔ̄re ēla niru̯mtaste, kastəŋke",25,1,AP,APV,NoPtcl,pst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,I,sg,possnp,ref,sp,uniq,w_brdg,
" χɔtal jalum wajane, ńarane χɔt āŋχsane,",26,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,w_brdg,
" kȯl kȯlkann paχtsane,",27,1,AP,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,zero,act,sp,uniq,strg,
 ekatēn nɔχ at nu̇wet,28,1,P,AV,NoPtcl,npst,ind,neg,pfv,H,sg,possnp,act,sp,uniq,strg,I,pl,zero,top,sp,uniq,strg,
" tēs,",29,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 āɣs,30,X,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
" an χum tēne kannəl astɒs,",31,X,A,AxV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg,,,,,,,,
 kant majawes:,32,0,P,V,NoPtcl,pst,ind,none,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
" wajane, narane tɔχ χujeɣt",33,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,pl,possnp,act,sp,uniq,strg,,,,,,,,
" tan nɔχ l'ul's,",34,0,A,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,act,sp,uniq,strg,,,,,,,,
" ńarane, wajane almajasane,",35,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,act,sp,uniq,strg,
" χɔtal alam ńɔχse-uje ālmaɣasane,",36,1,AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,I,pl,possnp,ref,sp,uniq,nfam,
 tuwl kȯn=kāls,37,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
 mań mȯꞩ nē jaɣāɣite kȯln minas,38,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
