,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
,0,,,,,,,,,,,,,,,,,,,,,,,
Mojt:,1,,,,,,,,,,,,,,,,,,,,,,,
Man̩ mosne jaɧpiɧentl oleɧa.,2,0,A,AV,,npst,ind,,npfv,H,du,barenp,uniq,sp,uniq,nfam,,,,,,,,
Hoʂa olseɧa.,3,0,A,V,,pst,ind,,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
Vati olseɧa.,4,0,A,V,,pst,ind,,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
/toha/? olьmaten. Jaɧpiɧe jaɧaite nupil potьrtaŋke pats.,5,0,INF-A,AxPV,,pst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
Men homas akjot olьŋke patьmen əlale.,6,0,INF-A,AxPV,,npst,ind,quest,pfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
Torom toha lavs:,7,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,uniq,sp,uniq,w_glob,,,,,,,,
"Jaɧaite jeɧpiɧe jot, olaŋke at-rovi.",8,0,INF-A,AV,,npst,ind,neg,npfv,,,,,,,,,,,,,,,
Potьrtь jaɧpiɧe os:,9,X,A,VA,,npst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
"nehotpa tav kinsi hum,",10,1,A,AVP,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,nfam,H,sg,barenp,typid,nonsp,nuniq,nfam,
a humhotpa kinsi ne.,11,1,A,AVP,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,nfam,H,sg,barenp,typid,nonsp,nuniq,nfam,
 Tьh{i}maɧs menamen akjot olaŋkv at rovi.,12,0,INF-A,AV,,npst,ind,neg,npfv,,,,,,,,,,,,,,,
Jaɧaite jaɧpiɧe nupil potьrtaŋke pats.,13,0,INF-A,AxPV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
Men homs akjot olsmen,14,0,A,AxV,,pst,ind,,npfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
elale olьmen.,15,0,A,V,,npst,ind,,npfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
Jaɧpiɧe lavi,16,0,A,V,,npst,ind,,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
ate men akjot at olьmen:,17,0,A,AxV,,npst,ind,neg,npfv,1,du,pron,top,sp,uniq,sap,,,,,,,,
"Hunta elamhomast olaŋke pateɧt,",18,0,INF-A,APV,,npst,ind,,npfv,H,pl,barenp,typid,nonsp,nuniq,strg,,,,,,,,
tan os toha pateɧt olaŋke.,19,0,INF-A,AxVP,,npst,ind,,npfv,H,pl,pron,typid,nonsp,nuniq,strg,,,,,,,,
"Jaɧpiɧin ne jaɧpiɧe palt minnaŋke patь,",20,0,INF-A,AxPV,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,strg,,,,,,,,
jaɧaɧьŋ hum jaɧaɧьte vuŋke pati.,21,0,INF-A,APV,,npst,ind,,npfv,H,sg,barenp,typid,nonsp,nuniq,strg,,,,,,,,
mir telьɧlaŋke pateɧt.,22,0,INF-A,APV,,npst,ind,,npfv,H,pl,barenp,typid,nonsp,nuniq,strg,,,,,,,,
Jaɧpihe at hontlas joɧaɧite,23,0,A,AV,,pst,ind,neg,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,,
minas mat kaŋ.,24,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
