,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 Polum torum mojt,0,,,,,,,,,,,,,,,,,,,,,,
 ekvaьɧ ojkaьɧ oleьɧ,1,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,uniq,nfam,,,,,,,
 kit pьɧaɧe janьɧmasьɧ,2,0,A,AV,NoPtcl,pst,ind,none,pfv,H,du,possnp,ref,sp,uniq,w_brdg,,,,,,,
 Janьɧ pьɧe lavi,3,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,uniq,sp,uniq,w_set,,,,,,,
 - Maŋki saka nysaɧ olev,4,0,A,AxV,NoPtcl,npst,ind,none,npfv,1,pl,pron,act,sp,uniq,sap,,,,,,,
" am lavi, hottal̩ jaleɧum",5,0,A,AxV,NoPtcl,fut,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,
 aꞩe lavi:,6,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,
 - manurьl mineɧьn,7,0,A,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 Pьɧe lavi:,8,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
 - Luvьl mineɧum,9,0,A,V,NoPtcl,fut,ind,none,pfv,1,sg,zero,act,sp,uniq,sap,,,,,,,
 Luv kers,10,1,A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,A,sg,barenp,ref,sp,uniq,nfam
 Kotle pьɧe lavi:,11,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,uniq,sp,uniq,w_set,,,,,,,
 - am os mineɧum,12,0,A,AxV,NoPtcl,fut,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,
 akv luven talsьɧ,13,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg,,,,,,,
 ta minasьɧ,14,0,A,V,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
 minasьɧ akvaьɧ,15,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,
 man̩ pьɧe lavi,16,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg,,,,,,,
 - am jaɧpьɧaɧum kinꞩijaɧum,17,1,AP,APV,NoPtcl,fut,ind,none,pfv,1,sg,pron,act,sp,uniq,sap,H,du,possnp,act,sp,uniq,strg
 - aꞩe lavi,18,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
" - kinsken, hotьl vьɧaɧьn",19,1,AP,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
 - am hot kinsijaɧum,20,1,AP,AxV,NoPtcl,fut,ind,quest,pfv,1,sg,pron,act,sp,uniq,sap,H,du,zero,act,sp,uniq,strg
