,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
mań mȯꞩ nē jaɣpı̮ɣentəl ɔ̄leı̮ɣ,0,,,,,,,,,,,,,,,,,,,,,,
(Moꞩ tuw) mȯꞩ nē jäɣpı̮ɣēntəl ɔ̄leı̮ɣ,1,0,A,AxV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,uniq,nfam,,,,,,,
 χɔsa ɔ̄lsı̮ɣ ,2,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,
wat'i ɔ̄lsı̮ɣ ,3,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,
mχ urən pal sāw sɔ̇mjaχ taɣintapti ,4,1,A,AxPV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam
wȯrəŋ pal sāw sɔ̇mjaχ taɣ͕əntapti,5,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam
 ɔ̄limētēn lāwi: - ,6,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
"Nēɣ͕əŋ mā, tumiŋ mā kinsuŋkwe ēri",7,0,INF-A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
" Ta minas, ",8,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
"χɔ̇sa mini, ",9,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
"wati mini, ",10,0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
ūsm ɔ̄tər ɔ̄jke pāu̯ln χɔntχàtas,11,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 ūsm ɔ̄tər ɔ̄jka ɔńꞩi χūru̮m āɣi,12,1,A,AVP,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,H,pl,barenp,ref,sp,uniq,w_brdg
 χajtalaste mań āɣi: ,13,1,AP,VP,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,w_set
"J ꞩɔpitaχtasət, ",14,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
