Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam
(Moꞩ tuw) mȯꞩ nē jäɣpı̮ɣēntəl ɔ̄leı̮ɣ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,uniq,nfam
 χɔsa ɔ̄lsı̮ɣ ,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
wat'i ɔ̄lsı̮ɣ ,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
 ɔ̄limētēn lāwi: - ,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
" Ta minas, ",0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
"χɔ̇sa mini, ",0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
"wati mini, ",0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg
ūsm ɔ̄tər ɔ̄jke pāu̯ln χɔntχàtas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg
"J ꞩɔpitaχtasət, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg
ajeɣt,X,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg
" ꞩɔpilasət, ",X,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
"aku χɔ̄təl ɔ̄lsət,",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
" kit χɔ̄tɒl' ɔ̄lsət, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg
Mȯꞩ χum lāwi:,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg
 ūsm ɔ̄tər ɔ̄jka lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg
" ꞩɔpitaχtası̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,act,sp,uniq,strg
minmı̮ɣtası̮ɣ juu̯ ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
Juw joχtəsı̮ɣ mātēn,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
" El-ɔ̄lmı̮ɣtası̮t, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
el-χulmı̮ɣtasət,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
" Jau̯ jāli mini wȯrəŋ mā, witəŋ ma",0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,pron,top,sp,uniq,strg
 Jäɣāɣite tuwajti: lāwi,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,fam,sp,uniq,strg
ań manurəl ɔ̄leɣu̮m,0,A,V,NoPtcl,npst,ind,quest,pfv,1,sg,zero,top,sp,uniq,strg
mańē nupəl lāwi - ,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
χȯttal' jālimēn,0,A,V,NoPtcl,npst,ind,none,pfv,1,du,zero,act,sp,uniq,strg
"masχatsı̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
āstəsı̮ɣ i ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
minmı̮ɣtası̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
" χɔ̇sa minası̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
"wat'i minası̮ɣ, ",0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg
jān jȯχtəsı̮ɣ,0,A,V,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg
" ɔnipe lawi, - ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
taχsimēn,0,A,V,NoPtcl,npst,ind,none,npfv,1,du,zero,act,sp,uniq,strg
" Mańe lawi, ",0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
"naŋ tāχu̮mten, ",0,A,AV,NoPtcl,npst,imp,none,pfv,2,sg,pron,act,sp,uniq,strg
ɔnipe lawi: - ,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg
