Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
"Nēɣ͕əŋ mā, tumiŋ mā kinsuŋkwe ēri",0,A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 Juw-minu̮ŋkwe ēri,0,A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
 - Minuŋkwe naŋən χuńt rɔu̯s,0,A,AV,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" Akw χɔ̄tɒlı̮ɣ jēmtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 tuijiɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 kȯl wāruŋkwe ti ēri,0,A,AV,ti,npst,ind,none,npfv,,,,,,,,,,,,,,
" tɔtnūw̯ ɔ̄li, ",0,A,V,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,
kiwərn wāɣawe,X,P,V,NoPtcl,npst,ind,none,pfv,,,,,,,,,,,,,,
 ēt kȯtlijiɣ jēmtəs - ,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
ė̄t'ijiɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" Ēt kȯt'l'iɣ jēmtəs, ",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ēt kot'l'iɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ak nakı̮ɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 tau̯ χujnēte sis alpəlı̮ɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
 ēt'ijiɣ jēmtəs,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
" alpəlı̮ɣ jemtəs,",0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,
