Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
ań nē sis kȯt'il't tāra pēlwes,X,P,PV,NoPtcl,pst,ind,none,pfv,H,sg,barenp,top,sp,uniq,strg
Am tuw jālum l'ɔ̄ŋχu̮m lap-wos wɔ̄tastawe,X,P,PV,NoPtcl,npst,ind,none,pfv,I,sg,possnp,fam,sp,uniq,strg
" ērı̮ɣ tȯtne χum mȯjt tȯtne χum jānı̮ɣwes, ",0,P,AV,NoPtcl,pst,ind,none,pfv,H,sg,pron,uniq,sp,uniq,nfam
 χȯttal wɔ̄tastawes,0,P,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg
 ēlmχɔlɒs ta sāwatawe,X,P,PV,ta,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg
" Naŋ taχ, ēlmχolas āɣikwe, mēn χȯtu̮m wārawamēn",X,P,PV,NoPtcl,npst,ind,none,pfv,1,du,pron,act,sp,uniq,strg
" Sūjt sāɣrawe, ",X,P,PV,NoPtcl,npst,ind,none,pfv,I,sg,barenp,typid,sp,uniq,nfam
 sājt ɔwəlt ꞩās kāsalawe ,X,P,PV,NoPtcl,npst,ind,none,pfv,I,sg,barenp,act,sp,uniq,strg
" taχ jȯχtawēw, ",0,P,V,NoPtcl,npst,ind,none,pfv,1,pl,zero,act,sp,uniq,strg
 wɔŋχɒ āwi tɔ̄rtawes,X,P,PV,NoPtcl,pst,ind,none,pfv,I,sg,barenp,fam,sp,uniq,strg
 ten aluŋkwe patwesı̮ɣ,0,P,PV,NoPtcl,pst,ind,none,pfv,A,du,pron,act,sp,uniq,strg
" mēn χotu̮m wārawamēn, ",X,P,PV,NoPtcl,npst,ind,none,pfv,1,du,pron,act,sp,uniq,strg
"kȯn χārtawamen, ",X,P,V,NoPtcl,npst,ind,none,pfv,1,du,zero,top,sp,uniq,strg
ꞩɔpitawamen,X,P,V,NoPtcl,npst,ind,none,pfv,1,du,zero,top,sp,uniq,strg
