Sentence,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,A-anim,A-numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,File
(Moꞩ tuw) mȯꞩ nē jäɣpı̮ɣēntəl ɔ̄leı̮ɣ,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,uniq,nfam,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 χɔsa ɔ̄lsı̮ɣ ,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
wat'i ɔ̄lsı̮ɣ ,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
mχ urən pal sāw sɔ̇mjaχ taɣintapti ,1,A,APV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
wȯrəŋ pal sāw sɔ̇mjaχ taɣ͕əntapti,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,pl,barenp,ref,nonsp,nuniq,nfam,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 ɔ̄limētēn lāwi: - ,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"Nēɣ͕əŋ mā, tumiŋ mā kinsuŋkwe ēri",0,INF-A,AV,NoPtcl,npst,ind,none,npfv,,,,,,,,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
" Ta minas, ",0,A,V,ta,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"χɔ̇sa mini, ",0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"wati mini, ",0,A,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
ūsm ɔ̄tər ɔ̄jke pāu̯ln χɔntχàtas,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 ūsm ɔ̄tər ɔ̄jka ɔńꞩi χūru̮m āɣi,1,A,AVP,NoPtcl,npst,ind,none,npfv,H,sg,barenp,act,sp,uniq,strg,H,pl,barenp,ref,sp,uniq,weak,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
 χajtalaste mań āɣi: ,1,AP,VP,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,barenp,uniq,sp,uniq,weak,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
"J ꞩɔpitaχtasət, ",0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,NM_Sosva_Chernetsov_47_MMN_final.xlsx - Лист1.csv
