,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 arɧen oln muvьr sup,0,,,,,,,,,,,,,,,,,,,,,,
 Ekvaьɧ ojkaьɧ oleьɧ,1,0,A,AV,NoPtcl,npst,ind,none,npfv,H,du,barenp,ref,sp,nuniq,nfam,,,,,,,
" hosa olsьɧ, ",2,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,act,sp,uniq,strg,,,,,,,
" vati olsьɧ, ",3,0,A,V,NoPtcl,pst,ind,none,npfv,H,du,zero,top,sp,uniq,strg,,,,,,,
 akv mat ert matmen pьrꞩumen ovьlt akv mat ert akv pьɧriꞩ on̩ꞩsьɧ,4,1,A,PV,NoPtcl,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,H,sg,barenp,ref,sp,uniq,w_brdg
 erьɧ hum mojt hum mana hosa janьɧmi ,5,0,A,AxV,NoPtcl,npst,ind,quest,npfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
 Hajtьɧtan janiɧьɧ jemtas,6,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Aꞩe nupьl lavi: ,7,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" aꞩ, arɧen oln muvьr supьn anum majeln",8,1,AP,PxV,NoPtcl,fut,imp,none,pfv,2,sg,zero,act,sp,uniq,sap,I,sg,possnp,ref,sp,uniq,nfam
 aꞩe lavi,9,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
 iŋ man̩ āsьn,10,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Lun̩ꞩim vovuŋkve pataste,11,1,INF-AP,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,H,sg,zero,act,sp,uniq,strg
 aꞩen ta majves,12,1,P,AV,ta,pst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg
" nalval̩ puvartite, ",13,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
" paɧle puvartite,",14,1,AP,V,NoPtcl,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 jonjim ta on̩ꞩite,15,1,AP,V,ta,npst,ind,none,npfv,H,sg,zero,top,sp,uniq,strg,I,sg,zero,top,sp,uniq,strg
 Toh puvartalimete nalval̩ puvarame mus akvaьɧ kona ta puvaras,16,0,A,V,ta,pst,ind,none,pfv,I,sg,zero,top,sp,uniq,strg,,,,,,,
 Tup minam l̩oŋɧe huji,17,0,A,AV,NoPtcl,npst,ind,none,npfv,I,sg,possnp,top,sp,uniq,strg,,,,,,,
 Muvьr sup akvaьɧ ta minas,18,0,A,AxV,ta,pst,ind,none,pfv,I,sg,barenp,top,sp,uniq,strg,,,,,,,
" Muvьr supe juji palt moꞩ tuvnuv hajtalas, ",19,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" juv permtahtas,",20,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 lavi,21,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
" naŋ sar minen,",22,0,A,AxV,NoPtcl,fut,imp,none,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,
 mat porat loŋh pattamen akva! ,23,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
 Juv ta minas,24,0,A,V,ta,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
 Juv johtьs,25,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 Mashatuŋkve patas,26,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 aꞩe lavi: ,27,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
 hotal̩ mineɧьn? ,28,0,A,V,NoPtcl,fut,ind,quest,pfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
 arɧen oln muvьr supum n̩auleɧum,29,1,A,PV,NoPtcl,fut,ind,none,npfv,1,sg,zero,act,sp,uniq,sap,I,sg,possnp,act,sp,uniq,strg
 aꞩe lavi,30,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,strg,,,,,,,
