,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
pū̬rlaχtən wārmal’ (pɔtər),0,,,,,,,,,,,,,,,,,,,,,,,
 Tapəst ɔ̄jka ɔ̄li. ,1,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
 pı̮ɣı̮ɣ ɔ̄n’ꞩi. ,2,1,A,PV,NoPtcl,npst,ind,none,npfv,H,sg,zero,act,sp,uniq,strg,H,du,barenp,typid,sp,nuniq,nfam,
 tɔχ ɔ̄limanəl ūujjuɣ jēmtəs. ,3,0,A,V,NoPtcl,pst,ind,none,pfv,,,,,,,,,,,,,,,
 jāŋk nātəs. ,4,0,A,V,NoPtcl,pst,ind,none,pfv,I,mass,barenp,ref,sp,uniq,w_glob,,,,,,,,
 ɔ̄jka lāwsi:,5,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
" - maj, - lawi,",6,0,A,V,NoPtcl,npst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,,
 - akwaı̮ɣ nɔt palitəl jāt ɔ̄lew̯.,7,0,A,V,NoPtcl,npst,ind,none,npfv,1,pl,zero,act,sp,uniq,sap,,,,,,,,
 asn ɔs janlnūwuu̯. ,8,0,A,V,NoPtcl,fut,irr,none,pfv,1,pl,zero,top,sp,uniq,sap,,,,,,,,
" Kit janı̮ɣ χāp, kit sāt tal pı̮ɣaɣe ꞩɔpitası̮ɣ. ",9,1,A,PxAV,NoPtcl,pst,ind,none,pfv,H,du,possnp,fam,sp,uniq,strg,I,du,barenp,typid,sp,nuniq,nfam,
 pɔra ta neı̮ɣsı̮ɣ. ,10,1,A,PV,ta,pst,ind,none,pfv,H,du,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,nuniq,nfam,
 ti tāltχatasət,11,0,A,V,ti,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
" janı̮ɣ uj n’ɔu̯l’ sāu̯ χūrı̮ɣ, janiı̮ɣ ij sāu̯ pȱt tāltəst. ",12,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,pl,barenp,typid,sp,nuniq,nfam,
 tá nātawet. ,13,0,P,V,ta,npst,ind,none,npfv,,,,,,,,H,pl,zero,top,sp,uniq,strg,
 ꞩaɣtn tɔχ patsət.,14,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 tá nātawet. ,15,0,P,V,ta,npst,ind,none,npfv,,,,,,,,H,pl,zero,top,sp,uniq,strg,
 χɔsa man wāti nātawest,16,0,P,V,NoPtcl,pst,ind,none,npfv,,,,,,,,H,pl,zero,top,sp,uniq,strg,
 sakw suntn jɔχtəst,17,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 āꞩēn lāwi:,18,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
 - nēn pı̮kweı̮ɣ mȱsχal mān pȱχtēn.,19,X,A,AxV,NoPtcl,fut,imp,none,pfv,2,du,pron,act,sp,uniq,sap,,,,,,,,
