,No,Trans,Form,W-ord,Tns,Mood,SenT,Pfv,Ptcl,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
СЕМЬ МЕНКВОВ,0,,,,,,,,,,,,,,,,,,,,,,
mēŋwət akw χum saŋkwəlti.,1,X,A,AV,npst,ind,,npfv,,H,sg,barenp,ref,sp,nuniq,nfam,,,,,,,
"lawn, name ı̯anı̮ɣ mań pı̮ɣ1",2,,,,,,,,,,,,,,,,,,,,,,
kit wɔ̄r χum2 ɔ̄leı̮ɣ.,3,0,A,AV,npst,ind,,npfv,,H,du,barenp,ref,sp,uniq,nfam,,,,,,,
wɔ̄rn minası̮ɣ.,4,0,A,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
akw mat ńɔχs χāŋχtuwes.,5,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ńɔ̄χsēn alası̮ɣ.,6,1,A,PV,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,possnp,top,sp,uniq,strg
alastēn.,7,1,AP,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔ̄s ta minası̮ɣ.,8,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
akw māt ɔ̄s ńɔ̄χs χāŋχtuwes.,9,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alastēn.,10,1,AP,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔ̄s ta minası̮ɣ.,11,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
akw māt ɔ̄s nɔχs χāŋχtuwes.,12,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alastēn.,13,1,AP,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ɔs ta minası̮ɣ (2),14,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s nɔ̄χs χāŋχtuwes,15,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alastēn.,16,1,AP,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,A,sg,zero,top,sp,uniq,strg
ań ńila ńɔχs ti alası̮ɣ.,17,1,A,PV,pst,ind,,pfv,ti,H,du,zero,top,sp,uniq,strg,A,pl,barenp,act,sp,max,strg
ɔ̄s minası̮ɣ.,18,0,A,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ńɔχs χāŋχtuwes.,19,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alası̮ɣ.,20,X,A,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
ɔ̄s ta minası̮ɣ,21,0,A,V,pst,ind,,pfv,ta+,H,du,zero,top,sp,uniq,strg,,,,,,,
ɔ̄s ta nɔχs χāŋχtuwes.,22,X,P,PV,pst,ind,,pfv,ta+,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s ta alası̮ɣ.,23,X,A,V,pst,ind,,pfv,ta+,H,du,zero,act,sp,uniq,strg,,,,,,,
ɔ̄s minası̮ɣ,24,0,A,V,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,,,,,,,
akw mat ɔ̄s ńɔχs χāŋχtuwes.,25,X,P,PV,pst,ind,,pfv,,,,,,,,,A,sg,barenp,ref,sp,nuniq,nfam
ɔ̄s alası̮ɣ.,26,X,A,V,pst,ind,,pfv,,H,du,zero,act,sp,uniq,strg,,,,,,,
ālası̮ɣ saka sēməl.,27,1,A,VP,pst,ind,,pfv,,H,du,zero,top,sp,uniq,strg,A,sg,barenp,act,sp,uniq,strg
