,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
Ali ńaltɒŋ ȯln āni,0,,,,,,,,,,,,,,,,,,,,,,,
 Pulŋau̯t ta palt ı̯ɔ̄rnət ɔlèɣt,1,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,typid,nonsp,nuniq,nfam,,,,,,,,
 χul alne māt sāli tal ɔ̄lèɣt,2,0,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
" tuı̯ian t'a tɔ̄lɣèɣt, ",3,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
nēmatər tɔ̄rəŋ at alèɣt,4,1,A,PxV,NoPtcl,npst,ind,neg,npfv,H,pl,zero,top,sp,uniq,strg,U,abst,negp,undef,nonsp,nuniq,nfam,
 aleɣt kos mȯsa ,5,X,A,V,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
tūp tēne sawit aleɣt,6,1,A,PV,NoPtcl,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,strg,I,abst,barenp,typid,sp,nuniq,nfam,
" akw tuu̯ toχ ɔ̄lnènəl χalt tɔ̄lı̮ɣ rēpı̮ɣtasət, ",7,1,A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,barenp,typid,sp,uniq,nfam,
"paı̮ɣ ı̯ɔ̄ŋχtsasanəl, ",8,1,AP,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,I,sg,zero,act,sp,uniq,strg,
χartsət ,9,X,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
wası̮ɣ at wērmeɣt,10,X,A,V,NoPtcl,npst,ind,neg,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
" tau̯, manurəl, nōmseɣt tarwitəŋ? ",11,0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
"paluw kos sunsiɣlaŋkwe patsət, χāpəl,",12,0,INF-A,PV,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 - tɔ̄lı̮ɣ tāɣla χul! ,13,,,,NoPtcl,,,none,,,,,,,,,,,,,,,,
"tuu̯l laweɣt, ",14,0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
"mań tɔ̄lı̮ɣ, kiwrenəl χūl pāɣ wı̮ɣuw",15,1,A,PV,NoPtcl,fut,hort,none,pfv,1,pl,zero,act,sp,uniq,sap,I,mass,barenp,act,sp,uniq,strg,
" χūl mȯssal paɣ χartsanəl, ",16,1,AP,PxV,NoPtcl,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,strg,I,mass,barenp,act,sp,uniq,strg,
paɣ tosam man ta ateɣt,17,X,A,V,ta,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
 sir sir χul tot ɔ̄li! ,18,0,A,AxV,NoPtcl,npst,ind,none,npfv,I,mass,barenp,,,,,,,,,,,,
