,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam
 XP nè ɔ̄leɣt,1,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,ref,sp,uniq,nfam,,,,,,,
" taŋkenəl ɔ̄lsət,",2,0,A,V,NoPtcl,pst,ind,none,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,
"akw̯ mat ērt, ı̯anı̮ɣ ı̯aɣa̩ɣitēn lāwi:",3,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,possnp,act,sp,uniq,w_set,,,,,,,
 - ı̯alew,4,0,A,V,NoPtcl,fut,hort,none,pfv,1,pl,zero,act,sp,uniq,sap,,,,,,,
ti χɔ̄tɒl ta χumit pāu̯lı̯alew,5,0,A,V,NoPtcl,fut,hort,none,pfv,1,pl,zero,top,sp,uniq,sap,,,,,,,
 ēꞩaɣe lāweı̮ɣ:,6,0,A,AV,NoPtcl,npst,ind,none,pfv,H,du,possnp,act,sp,uniq,w_set,,,,,,,
 - ı̯alew,7,0,A,V,NoPtcl,fut,hort,none,pfv,1,pl,zero,act,sp,uniq,sap,,,,,,,
 akw ı̯ot ti minuŋkwe patsət,8,0,INF-A,PV,ti,pst,ind,none,pfv,H,pl,zero,act,sp,uniq,sap,,,,,,,
 ta minasət,9,0,A,V,ta,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,sap,,,,,,,
 ta ı̯ȯmanteɣt,10,0,A,V,ta,npst,ind,none,npfv,H,pl,zero,top,sp,uniq,sap,,,,,,,
" ı̯omimenəl akw mat ēla sunseɣt,",11,0,A,V,NoPtcl,npst,ind,none,pfv,H,pl,zero,top,sp,uniq,sap,,,,,,,
 akw mȯꞩnè ı̯omi,12,0,A,AV,NoPtcl,npst,ind,none,npfv,H,sg,barenp,ref,sp,uniq,nfam,,,,,,,
 ı̯anı̮ɣ pȯrnè làwi:,13,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
" - mȯꞩ nèkwe, χotal' mineɣən",14,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" ı̯ol l'ulətəs,",15,0,A,V,NoPtcl,pst,ind,none,pfv,H,sg,zero,act,sp,uniq,strg,,,,,,,
" uꞩ ti kasalas,",16,0,A,V,ti+,pst,ind,none,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,
 pȯr nèt ı̯uwət,17,0,A,AV,NoPtcl,npst,ind,none,npfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,
" nas āt'i, χūrŭm nè",18,,,,NoPtcl,,,none,,,,,,,,,,,,,,,
" akwan ı̯omlı̮ɣtasət,",19,0,A,V,NoPtcl,pst,ind,none,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,
 ı̯anı̮ɣ pȯrnè lawi,20,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
" - moꞩnèkwe, χotal' mineɣən?",21,0,A,V,NoPtcl,npst,ind,quest,npfv,2,sg,zero,act,sp,uniq,sap,,,,,,,
" - am, lāwi nēmχotal' at mineɣŭm,",22,0,A,AxV,NoPtcl,npst,ind,neg,npfv,1,sg,pron,act,sp,uniq,sap,,,,,,,
 ul' ı̯̯iw̯ kinseɣŭm,23,1,A,PV,NoPtcl,npst,ind,none,npfv,1,sg,zero,top,sp,uniq,sap,I,mass,barenp,typid,nonsp,nuniq,nfam
 ı̯anı̮ɣ PN lawi,24,0,A,AV,NoPtcl,npst,ind,none,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,
